Namespace(annealing_epochs=1000, beta1=0.96, beta2=0.999, checkpoint_freq=500, clip_norm=10.0, cuda=False, iaf_dim=100, jit=False, learning_rate=0.0003, load_model='', load_opt='', log='dmm.log', lr_decay=0.99996, mini_batch_size=20, minimum_annealing_factor=0.2, num_epochs=5000, num_iafs=0, rnn_dropout_rate=0.1, save_model='Easiest', save_opt='', tmc=False, tmc_num_samples=10, tmcelbo=False, weight_decay=2.0)
N_train_data: 10     avg. training seq. length: 8.00    N_mini_batches: 1
[training epoch 0100]  2.6009 				(dt = 0.123 sec)
[val/test epoch 0100]  6.6158  7.1971
[training epoch 0101]  2.3694 				(dt = 0.180 sec)
[training epoch 0102]  2.0143 				(dt = 0.108 sec)
[training epoch 0103]  2.2988 				(dt = 0.113 sec)
[training epoch 0104]  2.5153 				(dt = 0.105 sec)
[training epoch 0105]  2.2768 				(dt = 0.099 sec)
[training epoch 0106]  2.1885 				(dt = 0.103 sec)
[training epoch 0107]  1.9629 				(dt = 0.115 sec)
[training epoch 0108]  2.0052 				(dt = 0.107 sec)
[training epoch 0109]  1.7862 				(dt = 0.104 sec)
[training epoch 0110]  1.8363 				(dt = 0.104 sec)
[training epoch 0111]  1.8239 				(dt = 0.115 sec)
[training epoch 0112]  1.6243 				(dt = 0.112 sec)
[training epoch 0113]  1.6283 				(dt = 0.159 sec)
[training epoch 0114]  1.6517 				(dt = 0.116 sec)
[training epoch 0115]  1.6070 				(dt = 0.114 sec)
[training epoch 0116]  1.5989 				(dt = 0.107 sec)
[training epoch 0117]  1.6948 				(dt = 0.120 sec)
[training epoch 0118]  1.6257 				(dt = 0.101 sec)
[training epoch 0119]  1.6032 				(dt = 0.107 sec)
[training epoch 0120]  1.5131 				(dt = 0.111 sec)
[training epoch 0121]  1.5024 				(dt = 0.119 sec)
[training epoch 0122]  1.4353 				(dt = 0.110 sec)
[training epoch 0123]  1.4526 				(dt = 0.122 sec)
[training epoch 0124]  1.5097 				(dt = 0.098 sec)
[training epoch 0125]  1.3746 				(dt = 0.123 sec)
[training epoch 0126]  1.4630 				(dt = 0.109 sec)
[training epoch 0127]  1.5416 				(dt = 0.109 sec)
[training epoch 0128]  1.3594 				(dt = 0.099 sec)
[training epoch 0129]  1.3013 				(dt = 0.103 sec)
[training epoch 0130]  1.3664 				(dt = 0.109 sec)
[training epoch 0131]  1.4093 				(dt = 0.109 sec)
[training epoch 0132]  1.3691 				(dt = 0.123 sec)
[training epoch 0133]  1.2994 				(dt = 0.113 sec)
[training epoch 0134]  1.1652 				(dt = 0.111 sec)
[training epoch 0135]  1.1439 				(dt = 0.112 sec)
[training epoch 0136]  1.2340 				(dt = 0.103 sec)
[training epoch 0137]  1.1389 				(dt = 0.113 sec)
[training epoch 0138]  1.2112 				(dt = 0.114 sec)
[training epoch 0139]  1.2601 				(dt = 0.112 sec)
[training epoch 0140]  1.1648 				(dt = 0.113 sec)
[training epoch 0141]  1.1413 				(dt = 0.112 sec)
[training epoch 0142]  1.0592 				(dt = 0.109 sec)
[training epoch 0143]  1.2150 				(dt = 0.116 sec)
[training epoch 0144]  1.2851 				(dt = 0.110 sec)
[training epoch 0145]  1.0400 				(dt = 0.107 sec)
[training epoch 0146]  1.1828 				(dt = 0.112 sec)
[training epoch 0147]  1.0463 				(dt = 0.108 sec)
[training epoch 0148]  0.9531 				(dt = 0.103 sec)
[training epoch 0149]  1.0013 				(dt = 0.106 sec)
[training epoch 0150]  0.9247 				(dt = 0.110 sec)
[val/test epoch 0150]  2.5294  2.6369
[training epoch 0151]  1.1188 				(dt = 0.180 sec)
[training epoch 0152]  1.0251 				(dt = 0.118 sec)
[training epoch 0153]  0.9961 				(dt = 0.115 sec)
[training epoch 0154]  0.8516 				(dt = 0.111 sec)
[training epoch 0155]  1.0488 				(dt = 0.106 sec)
[training epoch 0156]  0.9036 				(dt = 0.113 sec)
[training epoch 0157]  0.8961 				(dt = 0.110 sec)
